dataset,method,dims,k_stack,bytes_per_vec,compression_x,r10_vs_float,ndcg10,spearman
scifact,f32_2048,2048,1,8192,1,1.0000,0.8419,
scifact,f32_mrl256,256,1,1024,8,0.5543,0.7599,
scifact,f32_mrl128,128,1,512,16,0.3887,0.6637,
scifact,f32_mrl64,64,1,256,32,0.2397,0.4897,
scifact,bit1_2048,2048,1,256,32,0.7613,0.8196,
scifact,bit1_stack2,2048,2,512,16,0.8127,0.8386,
scifact,bit1_stack4,2048,4,1024,8,0.8707,0.8421,
scifact,bit1_mrl1024,1024,1,128,64,0.6207,0.8019,
scifact,bit1_mrl512,512,1,64,128,0.4870,0.7442,
scifact,bit1_mrl256,256,1,32,256,0.3557,0.6247,
stsb,f32_2048,2048,1,8192,1,,,0.8478
stsb,f32_mrl256,256,1,1024,8,,,0.8455
stsb,f32_mrl128,128,1,512,16,,,0.8369
stsb,f32_mrl64,64,1,256,32,,,0.8080
stsb,bit1_2048,2048,1,256,32,,,0.8447
stsb,bit1_stack2,2048,2,512,16,,,0.8452
stsb,bit1_stack4,2048,4,1024,8,,,0.8470
stsb,bit1_mrl1024,1024,1,128,64,,,0.8414
stsb,bit1_mrl512,512,1,64,128,,,0.8398
stsb,bit1_mrl256,256,1,32,256,,,0.8214
