dataset,method,family,dims_or_M,bytes_per_vec,compression_x,r10_vs_float,ndcg10,spearman
scifact,int8_2048,int8,2048,2048,4,0.9970,0.8436,
scifact,int8_mrl1024,int8,1024,1024,8,0.8110,0.8342,
scifact,int8_mrl512,int8,512,512,16,0.6900,0.8167,
scifact,int8_mrl256,int8,256,256,32,0.5533,0.7597,
scifact,int8_mrl128,int8,128,128,64,0.3900,0.6616,
scifact,int8_mrl64,int8,64,64,128,0.2397,0.4864,
scifact,pq_m32,pq,32,32,256,0.4437,0.6608,
scifact,pq_m64,pq,64,64,128,0.4850,0.6858,
scifact,pq_m128,pq,128,128,64,0.6013,0.7599,
scifact,pq_m256,pq,256,256,32,0.7533,0.8111,
stsb,int8_2048,int8,2048,2048,4,,,0.8478
stsb,int8_mrl1024,int8,1024,1024,8,,,0.8487
stsb,int8_mrl512,int8,512,512,16,,,0.8485
stsb,int8_mrl256,int8,256,256,32,,,0.8454
stsb,int8_mrl128,int8,128,128,64,,,0.8368
stsb,int8_mrl64,int8,64,64,128,,,0.8077
stsb,pq_m32,pq,32,32,256,,,0.5423
stsb,pq_m64,pq,64,64,128,,,0.6298
stsb,pq_m128,pq,128,128,64,,,0.7242
stsb,pq_m256,pq,256,256,32,,,0.7984
