dataset,method,dims,k_stack,bytes_per_vec,n_seeds,r10_mean,r10_std,ndcg10_mean,ndcg10_std,spearman_mean,spearman_std
scifact,bit1_2048,2048,1,256,5,0.7550,0.0044,0.8252,0.0082,,
scifact,bit1_mrl1024,1024,1,128,5,0.6199,0.0046,0.8015,0.0077,,
scifact,bit1_mrl256,256,1,32,5,0.3433,0.0095,0.6272,0.0081,,
scifact,bit1_mrl512,512,1,64,5,0.4855,0.0051,0.7368,0.0058,,
scifact,bit1_stack2,2048,2,512,5,0.8183,0.0062,0.8354,0.0021,,
scifact,bit1_stack4,2048,4,1024,5,0.8701,0.0015,0.8379,0.0031,,
stsb,bit1_2048,2048,1,256,5,,,,,0.8445,0.0010
stsb,bit1_mrl1024,1024,1,128,5,,,,,0.8431,0.0019
stsb,bit1_mrl256,256,1,32,5,,,,,0.8211,0.0044
stsb,bit1_mrl512,512,1,64,5,,,,,0.8364,0.0026
stsb,bit1_stack2,2048,2,512,5,,,,,0.8463,0.0007
stsb,bit1_stack4,2048,4,1024,5,,,,,0.8470,0.0004
scifact,f32_2048,2048,1,8192,1,1.0000,0.0000,0.8419,0.0000,,
scifact,f32_mrl256,256,1,1024,1,0.5543,0.0000,0.7599,0.0000,,
scifact,f32_mrl128,128,1,512,1,0.3887,0.0000,0.6637,0.0000,,
scifact,f32_mrl64,64,1,256,1,0.2397,0.0000,0.4897,0.0000,,
stsb,f32_2048,2048,1,8192,1,,,,,0.8478,0.0000
stsb,f32_mrl256,256,1,1024,1,,,,,0.8455,0.0000
stsb,f32_mrl128,128,1,512,1,,,,,0.8369,0.0000
stsb,f32_mrl64,64,1,256,1,,,,,0.8080,0.0000
