seed,dim,transform,metric,ground_truth,r10,r100,rerank_r10
99,128,truncate,ip,ip,0.296,0.77,0.77
99,128,truncate,ip,cosine,0.232,0.664,nan
99,128,truncate,cosine,ip,0.58,0.97,0.97
99,128,truncate,cosine,cosine,0.626,0.985,nan
99,128,center+truncate,ip,ip,0.393,0.898,0.898
99,128,center+truncate,ip,cosine,0.35,0.843,nan
99,128,center+truncate,cosine,ip,0.563,0.957,0.957
99,128,center+truncate,cosine,cosine,0.575,0.941,nan
99,192,truncate,ip,ip,0.33,0.819,0.819
99,192,truncate,ip,cosine,0.251,0.686,nan
99,192,truncate,cosine,ip,0.646,0.994,0.994
99,192,truncate,cosine,cosine,0.685,0.994,nan
99,192,center+truncate,ip,ip,0.442,0.923,0.923
99,192,center+truncate,ip,cosine,0.376,0.865,nan
99,192,center+truncate,cosine,ip,0.621,0.984,0.984
99,192,center+truncate,cosine,cosine,0.611,0.957,nan
99,256,truncate,ip,ip,0.42,0.882,0.882
99,256,truncate,ip,cosine,0.309,0.748,nan
99,256,truncate,cosine,ip,0.696,0.999,0.999
99,256,truncate,cosine,cosine,0.735,0.999,nan
99,256,center+truncate,ip,ip,0.464,0.943,0.943
99,256,center+truncate,ip,cosine,0.395,0.877,nan
99,256,center+truncate,cosine,ip,0.662,0.994,0.994
99,256,center+truncate,cosine,cosine,0.639,0.967,nan
99,384,truncate,ip,ip,0.515,0.952,0.952
99,384,truncate,ip,cosine,0.378,0.828,nan
99,384,truncate,cosine,ip,0.736,0.999,0.999
99,384,truncate,cosine,cosine,0.795,1.0,nan
99,384,center+truncate,ip,ip,0.501,0.957,0.957
99,384,center+truncate,ip,cosine,0.428,0.898,nan
99,384,center+truncate,cosine,ip,0.69,0.996,0.996
99,384,center+truncate,cosine,cosine,0.668,0.974,nan
99,512,truncate,ip,ip,0.665,0.995,0.995
99,512,truncate,ip,cosine,0.728,1.0,nan
99,512,truncate,cosine,ip,0.682,0.998,0.998
99,512,truncate,cosine,cosine,0.855,1.0,nan
99,512,center+truncate,ip,ip,0.514,0.968,0.968
99,512,center+truncate,ip,cosine,0.435,0.909,nan
99,512,center+truncate,cosine,ip,0.712,0.997,0.997
99,512,center+truncate,cosine,cosine,0.69,0.974,nan
99,768,truncate,ip,ip,1.0,1.0,1.0
99,768,truncate,ip,cosine,0.724,0.987,nan
99,768,truncate,cosine,ip,0.724,1.0,1.0
99,768,truncate,cosine,cosine,1.0,1.0,nan
99,768,center+truncate,ip,ip,0.514,0.969,0.969
99,768,center+truncate,ip,cosine,0.445,0.918,nan
99,768,center+truncate,cosine,ip,0.737,0.997,0.997
99,768,center+truncate,cosine,cosine,0.714,0.976,nan
1,128,truncate,ip,ip,0.257,0.757,0.757
1,128,truncate,ip,cosine,0.205,0.654,nan
1,128,truncate,cosine,ip,0.58,0.98,0.98
1,128,truncate,cosine,cosine,0.618,0.987,nan
1,128,center+truncate,ip,ip,0.385,0.883,0.883
1,128,center+truncate,ip,cosine,0.34,0.845,nan
1,128,center+truncate,cosine,ip,0.562,0.969,0.969
1,128,center+truncate,cosine,cosine,0.562,0.959,nan
1,192,truncate,ip,ip,0.335,0.824,0.824
1,192,truncate,ip,cosine,0.253,0.701,nan
1,192,truncate,cosine,ip,0.649,0.992,0.992
1,192,truncate,cosine,cosine,0.694,0.999,nan
1,192,center+truncate,ip,ip,0.437,0.915,0.915
1,192,center+truncate,ip,cosine,0.386,0.864,nan
1,192,center+truncate,cosine,ip,0.621,0.989,0.989
1,192,center+truncate,cosine,cosine,0.624,0.974,nan
1,256,truncate,ip,ip,0.402,0.905,0.905
1,256,truncate,ip,cosine,0.302,0.79,nan
1,256,truncate,cosine,ip,0.693,0.998,0.998
1,256,truncate,cosine,cosine,0.753,1.0,nan
1,256,center+truncate,ip,ip,0.458,0.931,0.931
1,256,center+truncate,ip,cosine,0.404,0.883,nan
1,256,center+truncate,cosine,ip,0.65,0.988,0.988
1,256,center+truncate,cosine,cosine,0.648,0.972,nan
1,384,truncate,ip,ip,0.537,0.972,0.972
1,384,truncate,ip,cosine,0.385,0.875,nan
1,384,truncate,cosine,ip,0.738,1.0,1.0
1,384,truncate,cosine,cosine,0.812,1.0,nan
1,384,center+truncate,ip,ip,0.485,0.951,0.951
1,384,center+truncate,ip,cosine,0.417,0.9,nan
1,384,center+truncate,cosine,ip,0.683,0.994,0.994
1,384,center+truncate,cosine,cosine,0.685,0.973,nan
1,512,truncate,ip,ip,0.657,0.995,0.995
1,512,truncate,ip,cosine,0.714,1.0,nan
1,512,truncate,cosine,ip,0.7,0.997,0.997
1,512,truncate,cosine,cosine,0.877,1.0,nan
1,512,center+truncate,ip,ip,0.503,0.956,0.956
1,512,center+truncate,ip,cosine,0.432,0.906,nan
1,512,center+truncate,cosine,ip,0.707,0.995,0.995
1,512,center+truncate,cosine,cosine,0.709,0.975,nan
1,768,truncate,ip,ip,1.0,1.0,1.0
1,768,truncate,ip,cosine,0.743,0.986,nan
1,768,truncate,cosine,ip,0.743,0.999,0.999
1,768,truncate,cosine,cosine,1.0,1.0,nan
1,768,center+truncate,ip,ip,0.525,0.967,0.967
1,768,center+truncate,ip,cosine,0.447,0.922,nan
1,768,center+truncate,cosine,ip,0.743,0.995,0.995
1,768,center+truncate,cosine,cosine,0.725,0.976,nan
2,128,truncate,ip,ip,0.291,0.721,0.721
2,128,truncate,ip,cosine,0.234,0.619,nan
2,128,truncate,cosine,ip,0.59,0.97,0.97
2,128,truncate,cosine,cosine,0.625,0.986,nan
2,128,center+truncate,ip,ip,0.395,0.887,0.887
2,128,center+truncate,ip,cosine,0.362,0.829,nan
2,128,center+truncate,cosine,ip,0.585,0.952,0.952
2,128,center+truncate,cosine,cosine,0.574,0.928,nan
2,192,truncate,ip,ip,0.336,0.795,0.795
2,192,truncate,ip,cosine,0.254,0.669,nan
2,192,truncate,cosine,ip,0.659,0.991,0.991
2,192,truncate,cosine,cosine,0.706,0.996,nan
2,192,center+truncate,ip,ip,0.456,0.904,0.904
2,192,center+truncate,ip,cosine,0.405,0.854,nan
2,192,center+truncate,cosine,ip,0.623,0.968,0.968
2,192,center+truncate,cosine,cosine,0.628,0.949,nan
2,256,truncate,ip,ip,0.419,0.861,0.861
2,256,truncate,ip,cosine,0.32,0.736,nan
2,256,truncate,cosine,ip,0.69,0.996,0.996
2,256,truncate,cosine,cosine,0.739,0.999,nan
2,256,center+truncate,ip,ip,0.468,0.927,0.927
2,256,center+truncate,ip,cosine,0.418,0.866,nan
2,256,center+truncate,cosine,ip,0.652,0.979,0.979
2,256,center+truncate,cosine,cosine,0.651,0.956,nan
2,384,truncate,ip,ip,0.539,0.948,0.948
2,384,truncate,ip,cosine,0.405,0.824,nan
2,384,truncate,cosine,ip,0.735,0.998,0.998
2,384,truncate,cosine,cosine,0.803,1.0,nan
2,384,center+truncate,ip,ip,0.516,0.933,0.933
2,384,center+truncate,ip,cosine,0.456,0.879,nan
2,384,center+truncate,cosine,ip,0.694,0.991,0.991
2,384,center+truncate,cosine,cosine,0.687,0.963,nan
2,512,truncate,ip,ip,0.663,0.985,0.985
2,512,truncate,ip,cosine,0.736,0.999,nan
2,512,truncate,cosine,ip,0.683,0.994,0.994
2,512,truncate,cosine,cosine,0.863,1.0,nan
2,512,center+truncate,ip,ip,0.534,0.95,0.95
2,512,center+truncate,ip,cosine,0.466,0.895,nan
2,512,center+truncate,cosine,ip,0.723,0.993,0.993
2,512,center+truncate,cosine,cosine,0.709,0.967,nan
2,768,truncate,ip,ip,1.0,1.0,1.0
2,768,truncate,ip,cosine,0.731,0.979,nan
2,768,truncate,cosine,ip,0.731,0.999,0.999
2,768,truncate,cosine,cosine,1.0,1.0,nan
2,768,center+truncate,ip,ip,0.537,0.956,0.956
2,768,center+truncate,ip,cosine,0.468,0.899,nan
2,768,center+truncate,cosine,ip,0.74,0.996,0.996
2,768,center+truncate,cosine,cosine,0.721,0.968,nan
3,128,truncate,ip,ip,0.267,0.741,0.741
3,128,truncate,ip,cosine,0.216,0.637,nan
3,128,truncate,cosine,ip,0.595,0.977,0.977
3,128,truncate,cosine,cosine,0.634,0.985,nan
3,128,center+truncate,ip,ip,0.394,0.9,0.9
3,128,center+truncate,ip,cosine,0.354,0.855,nan
3,128,center+truncate,cosine,ip,0.571,0.972,0.972
